0.2651	0.5759	-0.0956	0.7548	0.5011	1
0.7291	0.0206	0.6366	0.3342	0.7522	1
0.3416	0.1967	0.0969	0.4868	0.4011	1
-0.4167	-0.3103	-0.9748	-0.5856	-0.0431	1
-0.1176	0.3243	-0.289	-0.6364	0.2623	1
-1.4138	-1.5358	-1.2756	-1.4183	-1.3249	1
1.2535	1.2533	0.6106	0.9259	0.7578	1
-1.4051	-0.9966	-0.933	-1.1288	-1.7172	1
-0.8256	-0.2672	-0.2306	-0.3254	-1.0293	1
-0.983	-0.4578	-0.8873	-0.6575	-1.159	1
-1.6331	-1.4823	-1.4723	-1.6559	-1.151	1
-0.5399	0.0721	-0.6303	-0.4408	-0.3768	1
-0.9555	-0.3129	-0.5586	-0.3731	-0.9241	1
1.1712	0.6876	1.1284	1.2531	1.3984	1
0.116	0.2363	-0.3598	0.5041	0.2573	1
-0.959	-0.5174	-0.4621	-1.3658	-1.3569	1
0.8509	0.7443	1.3862	0.6174	1.4521	1
-1.1455	-0.4263	-0.0499	-0.5353	-0.9892	1
0.2831	0.3766	0.4127	0.7272	0.1661	1
0.3057	-0.3428	0.237	-0.2227	-0.5571	1
-2.1798	-1.6384	-2.1015	-2.1499	-1.7383	1
-0.1737	0.042	-0.3362	0.4754	-0.5319	1
1.0264	1.3553	1.4176	0.96	1.2174	1
-0.1921	-0.4535	-0.2172	-0.6681	-0.3498	1
-1.0587	-0.6615	-1.523	-1.1796	-0.8498	1
0.6644	0.2108	0.7702	0.3465	1.0208	1
-1.2663	-1.3285	-1.5633	-1.2991	-0.6259	1
-1.3043	-1.2587	-1.1517	-1.3763	-1.6228	1
-0.7392	-0.466	-0.4525	-0.7991	-0.3036	1
-0.3043	-1.1814	-0.8674	-0.8753	-1.4622	1
1.73	0.6896	0.6828	1.2019	1.5517	1
0.3439	0.8525	0.8905	0.5914	1.0641	1
0.2607	0.1356	-0.1368	0.1863	-0.4351	1
0.4507	0.011	0.806	0.5915	0.4149	1
0.8318	0.7081	0.5239	0.7648	0.1309	1
-1.3823	-0.967	-1.4077	-1.3662	-1.6336	1
-0.6213	-0.6375	-0.8585	-0.7538	-0.6689	1
-0.1548	-0.0432	-0.398	0.1499	0.3508	1
-0.6346	-1.0659	-1.2574	-1.4318	-1.4747	1
